id,trabajador,parcela,fecha_inicio,fecha_fin,vegetal,cantidad,estado
PX05D5,123456789,C7C54,25-10-2025,30/10/2025,tomate,2000,cerrado
PX06A1,112233445,F9K12,01/11/2025,07/11/2025,maíz,1450,cerrado
PX07B2,223344556,F9K12,08/11/2025,12/11/2025,frijol,780,cerrado
PX08C3,334455667,G2M88,05/11/2025,10/11/2025,tomate,950,cerrado
PX09D4,445566778,G2M88,12/11/2025,16/11/2025,lechuga,730,cerrado
PX10E5,556677889,H4Q23,03/11/2025,08/11/2025,cebolla,900,cerrado
PX11F6,234567890,H4Q23,09/11/2025,13/11/2025,zanahoria,640,cerrado
PX12G7,123456789,J1R57,15/10/2025,21/10/2025,papa,1080,cerrado
PX13H8,678901234,J1R57,22/10/2025,28/10/2025,zanahoria,390,cerrado
PX14I9,345678901,K3L90,18/12/2025,24/12/2025,piña,760,cerrado
PX15J0,456789012,K3L90,26/12/2025,31/12/2025,sandia,910,cerrado
PX16K1,567890123,L7V65,02/01/2026,09/01/2026,arroz,5450,cerrado
PX17L2,789012345,L7V65,10/01/2026,16/01/2026,maíz,980,cerrado
PX18M3,012345678,M9P30,12/11/2025,23/11/2025,melon,920,abierto
PX19N4,012345678,M9P30,01/12/2025,13/12/2025,tomate,820,abierto
PX20O5,012345678,N0D44,18/01/2026,02/02/2026,cebolla,2500,cerrado
PX21P6,012345678,N0D44,22/01/2026,01/02/2026,pimiento,690,abierto
PX22Q7,012345678,O3W71,03/02/2026,10/02/2026,lechuga,960,abierto
PX24S9,556677889,P6T39,01/12/2025,08/12/2025,berenjena,6390,cerrado
PX25T0,556677889,P6T39,10/12/2025,15/12/2025,zapallo,5580,cerrado
K7RVMH,123456789,F9K12,15/10/2028,20/10/2028,asa,10000,abierto
EZSTY0,123456789,C7C54,10/12/2027,15/12/2027,tomate,1500,cerrado
